CODMUNRES,ANO,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS
110155,2014,0,0,1,21
110155,2015,0,0,1,19
110155,2017,0,0,1,25
110155,2018,0,0,1,28
110155,2019,0,0,3,26
110160,2012,0,0,4,41
110160,2014,0,0,2,33
110160,2015,0,0,2,38
110160,2017,0,0,3,36
110160,2018,0,0,1,33
110170,2012,0,0,4,55
110170,2013,0,0,2,46
110170,2014,0,0,2,56
110170,2015,0,0,4,55
110170,2017,0,0,1,68
110170,2018,0,0,1,50
110170,2019,0,0,3,54
110175,2012,0,0,1,40
110175,2015,0,1,2,33
110175,2016,0,0,3,50
110175,2019,0,0,1,34
110180,2014,0,0,1,29
110180,2015,0,1,0,21
110180,2016,0,0,3,52
110180,2019,0,0,2,52
120000,2018,0,0,1,8
120001,2012,0,1,3,52
120001,2013,0,0,3,41
120001,2014,0,0,5,41
120001,2015,0,0,2,56
120001,2017,0,1,2,61
120001,2018,0,0,2,58
120005,2012,0,0,4,34
120005,2013,0,0,2,30
120005,2014,0,0,4,33
120005,2015,0,0,7,31
120005,2016,0,0,8,53
120005,2017,0,0,2,29
120005,2018,0,0,4,44
120005,2019,0,0,5,41
120010,2012,0,0,10,96
120010,2013,0,0,14,97
120010,2014,0,1,7,102
120010,2015,0,1,13,115
120010,2016,0,0,14,121
120010,2017,0,0,10,127
120010,2018,0,1,7,133
120010,2019,0,0,9,148
120013,2012,0,0,3,31
120013,2013,0,0,1,43
120013,2014,0,0,1,41
120013,2015,0,0,2,44
120013,2016,0,0,1,52
120013,2017,0,0,2,40
120013,2018,0,0,1,48
120013,2019,0,0,4,42
120017,2012,0,0,5,34
120017,2013,0,0,1,31
120017,2014,0,0,6,37
120017,2015,0,0,2,53
120017,2016,0,1,4,40
120017,2017,0,0,4,34
120017,2018,0,0,4,58
120020,2012,0,0,26,346
120020,2013,0,3,26,314
120020,2014,0,1,21,357
120020,2015,1,2,17,373
120020,2016,0,0,16,365
120020,2017,0,1,18,426
120020,2018,1,0,27,422
120020,2019,0,0,31,426
120025,2012,0,1,8,68
120025,2013,0,0,3,59
120025,2014,1,0,1,54
120025,2015,0,0,2,65
120025,2016,0,0,6,72
120025,2017,0,0,3,70
120025,2018,0,0,7,76
120025,2019,0,0,4,86
120030,2012,2,0,15,113
120030,2013,0,1,29,145
120030,2014,1,1,17,124
120030,2015,2,1,23,150
120030,2016,1,0,18,137
120030,2017,1,0,12,140
120030,2018,1,0,30,159
120030,2019,1,0,30,166
120032,2012,0,0,12,36
120032,2013,0,0,5,15
120032,2014,0,0,6,15
120032,2015,1,1,2,14
120032,2016,0,0,3,21
120032,2017,0,0,6,12
120032,2018,0,0,4,16
120032,2019,0,0,2,20
120033,2012,0,0,5,45
120033,2013,0,0,2,56
120033,2014,1,0,4,64
120033,2015,0,0,9,75
120033,2016,0,0,2,73
120033,2017,0,0,3,78
120033,2018,0,0,9,72
120033,2019,0,0,9,87
120034,2012,1,0,4,29
120034,2013,0,0,4,33
120034,2014,0,0,9,45
120034,2015,0,0,8,39
120034,2016,0,0,6,40
120034,2017,0,0,7,50
120034,2018,0,0,2,34
120034,2019,0,0,10,53
120035,2012,0,1,6,29
120035,2013,0,1,4,29
120035,2014,1,0,13,44
120035,2015,0,0,7,29
120035,2016,0,1,5,40
120035,2017,0,1,10,32
120035,2018,0,0,8,35
120035,2019,0,0,9,43
120038,2012,0,0,2,68
120038,2013,0,0,6,68
120038,2014,0,0,2,69
120038,2015,0,0,8,73
120038,2016,0,0,2,84
120038,2017,0,0,3,73
120038,2018,1,0,4,93
120038,2019,0,0,2,71
120039,2012,0,0,6,30
120039,2013,0,0,7,25
120039,2014,0,0,1,21
120039,2015,0,0,4,22
120039,2016,0,0,2,24
120039,2017,0,0,4,21
120039,2018,0,1,6,31
120039,2019,0,1,5,29
120040,2012,1,1,77,1682
120040,2013,1,0,94,1689
120040,2014,0,1,106,1815
120040,2015,0,1,100,1731
120040,2016,0,0,85,1918
120040,2017,1,2,71,1972
120040,2018,0,3,90,2094
120040,2019,1,1,68,1953
120042,2012,0,0,5,30
120042,2013,0,0,2,32
120042,2014,0,0,8,54
120042,2015,0,0,6,33
120042,2016,0,0,10,39
120042,2017,1,0,6,46
120042,2018,0,0,5,43
120042,2019,0,1,13,64
120043,2012,0,0,11,22
120043,2013,0,0,12,26
120043,2014,0,0,10,19
120043,2015,0,0,11,26
120043,2016,0,0,5,22
120043,2017,0,0,5,22
120043,2018,0,0,9,20
120043,2019,0,0,7,25
120045,2012,0,0,9,88
120045,2013,0,0,6,94
120045,2014,0,0,9,101
120045,2015,0,0,6,110
120045,2016,0,0,2,99
120045,2017,0,0,5,108
120045,2018,0,0,5,115
120045,2019,0,0,4,144
120050,2012,0,0,17,163
120050,2013,0,1,20,192
120050,2014,0,1,13,158
120050,2015,0,0,8,170
