CODMUNRES,ANO,AVG_PM25,MIN_PM25,MAX_PM25,BAIXO_PESO,TOTAL,OBITOS_PERINATAIS,OBITOS_NEONATAIS,OBITOS_INFANTIS,OBITOS_TOTAIS,IDH
110012,2014,12.772839507530092,0.0,82.69999694824219,108,1919,0,1,24,610,0.714
110012,2015,16.740974629480665,0.0,201.89999389648438,127,2057,0,0,33,603,0.714
110012,2016,13.946583857097817,0.0,109.19999694824219,96,1936,0,0,20,665,0.714
110012,2017,17.244551044097904,0.0,239.3000030517578,110,2019,0,0,23,684,0.714
110012,2018,17.474104686545274,0.0,230.5,143,2218,2,1,36,737,0.714
110012,2019,17.2374485803791,0.0,133.10000610351562,130,2159,1,0,24,650,0.714
110013,2012,24.431395356886078,0.0,880.5999755859375,37,512,0,0,9,144,0.596
110013,2013,11.766826928629039,0.0,234.6999969482422,21,502,0,0,7,127,0.596
110013,2014,22.376438268457782,0.0,555.0,31,500,0,0,5,139,0.596
110013,2015,33.31350239800867,0.0,1094.4000244140625,31,473,0,1,10,149,0.596
110013,2016,21.9447494849624,0.0,1245.699951171875,28,389,0,0,7,152,0.596
110013,2017,26.1123972155511,0.0,666.4000244140625,29,435,0,0,3,138,0.596
110013,2018,30.663598899105256,0.0,830.9000244140625,31,499,1,0,1,116,0.596
110013,2019,21.378326496684256,0.0,283.3999938964844,38,489,1,0,9,129,0.596
110014,2012,11.47407661843153,0.0,80.80000305175781,17,262,0,0,1,67,0.643
110014,2013,9.84414601445547,0.0,56.29999923706055,14,274,0,0,5,74,0.643
110014,2014,12.408156278527215,0.0,92.5,12,252,0,0,4,85,0.643
110014,2015,16.799657041352596,0.0,269.79998779296875,12,252,0,0,2,89,0.643
110014,2016,15.095879133949364,0.0,192.5,6,276,0,0,1,97,0.643
110014,2017,16.138630154866675,0.0,214.3000030517578,11,221,,,,,0.643
110014,2018,17.077441552369518,0.0,284.70001220703125,13,274,0,1,1,88,0.643
110014,2019,15.654109586183338,0.0,102.69999694824219,16,257,1,0,7,105,0.643
110015,2012,12.92777019291199,0.0,130.0,32,641,0,0,8,212,0.682
110015,2013,10.238530214589376,0.0,107.0,38,637,1,0,9,191,0.682
110015,2014,12.956986304872656,0.0,118.69999694824219,44,660,0,0,4,196,0.682
110015,2015,17.746739885468717,0.0,135.8000030517578,29,748,0,0,7,191,0.682
110015,2016,14.476595766013954,0.0,117.30000305175781,31,572,0,1,6,233,0.682
110015,2017,17.404041103595127,0.0,242.3000030517578,32,567,0,0,3,229,0.682
110015,2018,17.26923074908964,0.0,286.29998779296875,41,608,0,0,8,206,0.682
