populacao,municipio
15296,2204709
9782,2204808
8551,2204907
11507,2205003
11010,2205102
5753,2205151
19035,2205201
4494,2205250
4855,2205276
4457,2205300
3010,2205359
14332,2205409
5419,2205458
39072,2205508
5472,2205516
5614,2205524
4748,2205532
2831,2205540
8504,2205557
4653,2205565
6738,2205573
4052,2205581
5154,2205599
5307,2205607
30177,2205706
25467,2205805
8276,2205854
5348,2205904
8439,2205953
4550,2206001
6434,2206050
10913,2206100
33684,2206209
1250,2206308
6617,2206357
10565,2206407
7729,2206506
10611,2206605
4533,2206654
6781,2206670
9105,2206696
7356,2206704
8536,2206720
4847,2206753
8661,2206803
6575,2206902
2979,2206951
36971,2207009
2449,2207108
6862,2207207
4132,2207306
3375,2207355
5051,2207405
14488,2207504
3953,2207553
10762,2207603
152653,2207702
4302,2207751
6377,2207777
4023,2207793
20490,2207801
3685,2207850
38704,2207900
2529,2207934
4365,2207959
78002,2208007
12115,2208106
18389,2208205
28703,2208304
63694,2208403
12526,2208502
2700,2208551
3153,2208601
8966,2208650
8758,2208700
17978,2208809
4316,2208858
4464,2208874
7305,2208908
6431,2209005
6232,2209104
4004,2209153
6252,2209203
5836,2209302
4625,2209351
5258,2209377
6388,2209401
2155,2209450
3785,2209500
4444,2209559
2954,2209609
5731,2209658
6425,2209708
3025,2209757
4999,2209807
4602,2209856
6019,2209872
6157,2209906
4832,2209955
7937,2209971
20537,2210003
5338,2210052
3750,2210102
6710,2210201
6353,2210300
4568,2210359
2642,2210375
2449,2210383
3040,2210391
17686,2210409
14255,2210508
34535,2210607
3488,2210623
4286,2210631
10024,2210656
14615,2210706
12663,2210805
4576,2210904
6692,2210938
2908,2210953
2756,2210979
861442,2211001
44396,2211100
21457,2211209
20906,2211308
4956,2211357
4397,2211407
3075,2211506
2990,2211605
4454,2211704
11663,2300101
15399 ,2300150
62557,2300200
53931,2300309
17303,2300408
11529,2300507
7521,2300606
17096,2300705
43131,2300754
7328,2300804
14814,2300903
79563,2301000
74084,2301109
26437 ,2301208
10901,2301257
21550,2301307
11346,2301406
7836,2301505
23417,2301604
24699,2301703
6272,2301802
18151,2301851
60155,2301901
22362 ,2301950
22593,2302008
14989,2302057
35575,2302107
53421,2302206
32593,2302305
54440,2302404
49109,2302503
63408,2302602
27409,2302701
78049,2302800
17793,2302909
22427,2303006
18802,2303105
27095,2303204
18950,2303303
17747,2303402
71499,2303501
20562,2303600
10437,2303659
363982,2303709
25249,2303808
13047,2303907
13476,2303931
19345,2303956
23258,2304004
74982,2304103
131372,2304202
17994,2304236
24131,2304251
9585,2304269
7211,2304277
52880,2304285
18882,2304301
24169,2304350
2643247,2304400
16357,2304459
13758,2304509
6956,2304608
15423,2304657
54729,2304707
4469,2304806
11076,2304905
26472,2304954
39713,2305001
3595,2305100
20352,2305209
66114,2305233
13317,2305266
24995,2305308
12419,2305332
19804,2305357
67972,2305407
103255,2305506
26168,2305605
11587,2305654
12439,2305704
41873,2305803
38205,2305902
14227,2306009
24003,2306108
7787,2306207
39518,2306256
52240,2306306
128135,2306405
20133,2306504
41445,2306553
20786,2306603
18102,2306702
11359,2306801
34729,2306900
33967,2307007
27284,2307106
7902,2307205
19587,2307254
271926,2307304
24773,2307403
31584,2307502
59278,2307601
19906,2307635
226128,2307650
127098,2307700
27127,2307809
11143,2307908
38424,2308005
46854,2308104
15030,2308203
28466,2308302
13241,2308351
13669,2308377
35662,2308401
44060,2308500
17167,2308609
62069,2308708
8689,2308807
22354,2308906
14485,2309003
12892,2309102
15520,2309201
32262,2309300
28557,2309409
25557,2309458
21471,2309508
71193,2309607
83157,2309706
12046,2309805
6246,2309904
9348,2310001
13214,2310100
34097,2310209
32700,2310258
31398,2310308
11664,2310407
43160,2310506
9010,2310605
37326,2310704
16281,2310803
20748,2310852
16827,2310902
10853,2310951
12334,2311009
15047,2311108
10986,2311207
6400,2311231
21000,2311264
87116,2311306
14986,2311355
79081,2311405
22008,2311504
27633,2311603
18945,2311702
76884,2311801
15808,2311900
16435,2311959
32216,2312007
17622,2312106
43695,2312205
46949,2312304
48516,2312403
7691,2312502
12938,2312601
26664,2312700
7553,2312809
206644,2312908
18291,2313005
30695,2313104
25731,2313203
8926,2313252
58517,2313302
18998,2313351
75140,2313401
55535,2313500
16015,2313559
34530,2313609
7729,2313708
19811,2313757
21725,2313807
13763,2313906
18368,2313955
40704,2314003
60355,2314102
11152,2400109
57644,2400208
11041,2400307
3230,2400406
13602,2400505
4761,2400604
14326,2400703
11724,2400802
7137,2400901
35814,2401008
27162,2401107
14192,2401206
9638,2401305
9218,2401404
27994,2401453
4002,2401503
5469,2401602
2250,2401651
10152,2401701
12609,2401800
6537,2401859
3652,2401909
67554,2402006
11142,2402105
33999,2402204
20443,2402303
8119,2402402
10651,2402501
73099,2402600
11178,2402709
5508,2402808
4908,2402907
8014,2403004
44664,2403103
7080,2403202
255793,2403251
5608,2403301
6036,2403400
10527,2403509
28222,2403608
5972,2403707
3039,2403756
9121,2403806
2836,2403905
4095,2404002
2726,2404101
25980,2404200
12997,2404309
10302,2404408
15349,2404507
13628,2404606
15354,2404705
2228,2404804
7501,2404853
5858,2404903
9026,2405009
6863,2405108
5289,2405207
10087,2405306
5117,2405405
2617,2405504
14730,2405603
12395,2405702
34747,2405801
2655,2405900
5957,2406007
18274,2406106
3873,2406155
6728,2406205
