CODMUNRES,ANO,BAIXO_PESO,TOTAL
130280,2018,15,393
130280,2019,17,374
130290,2012,84,1292
130290,2013,78,1301
130290,2014,63,1344
130290,2015,62,1327
130290,2016,75,1267
130290,2017,120,1538
130290,2018,109,1562
130290,2019,86,1528
130300,2012,6,328
130300,2013,14,291
130300,2014,21,347
130300,2015,19,351
130300,2016,19,335
130300,2017,23,354
130300,2018,14,312
130300,2019,23,342
130310,2012,34,585
130310,2013,61,622
130310,2014,58,609
130310,2015,33,579
130310,2016,39,577
130310,2017,36,580
130310,2018,51,609
130310,2019,72,540
130320,2012,16,253
130320,2013,19,244
130320,2014,16,306
130320,2015,19,313
130320,2016,17,285
130320,2017,17,327
130320,2018,21,325
130320,2019,15,304
130330,2012,12,310
130330,2013,11,350
130330,2014,16,339
130330,2015,26,404
130330,2016,11,377
130330,2017,26,402
130330,2018,24,377
130330,2019,28,382
130340,2012,130,2013
130340,2013,144,2109
130340,2014,165,2041
130340,2015,156,1958
130340,2016,164,1896
130340,2017,189,2108
130340,2018,174,2031
130340,2019,175,1926
130350,2012,16,294
130350,2013,16,367
130350,2014,21,357
130350,2015,26,365
130350,2016,22,343
130350,2017,28,351
130350,2018,27,358
130350,2019,35,357
130353,2012,37,543
130353,2013,24,574
130353,2014,31,578
130353,2015,39,548
130353,2016,39,538
130353,2017,30,514
130353,2018,35,551
130353,2019,25,507
130356,2012,24,356
130356,2013,23,372
130356,2014,33,408
130356,2015,29,384
130356,2016,27,408
130356,2017,20,411
130356,2018,27,425
130356,2019,32,432
130360,2012,30,341
130360,2013,13,278
130360,2014,15,221
130360,2015,12,298
130360,2016,23,303
130360,2017,27,364
130360,2018,30,370
130360,2019,29,318
130370,2012,40,590
130370,2013,34,566
130370,2014,35,647
130370,2015,49,706
130370,2016,40,680
130370,2017,31,722
130370,2018,26,699
130370,2019,45,759
130380,2012,67,1100
130380,2013,71,1129
130380,2014,67,1235
130380,2015,80,1108
130380,2016,88,1235
130380,2017,86,1200
130380,2018,64,1204
130380,2019,92,1413
130390,2012,52,951
130390,2013,55,906
130390,2014,52,980
130390,2015,54,743
130390,2016,52,860
130390,2017,46,990
130390,2018,50,921
130390,2019,61,942
130395,2012,11,174
130395,2013,6,160
130395,2014,9,160
130395,2015,7,175
130395,2016,6,178
130395,2017,19,202
130395,2018,11,184
130395,2019,5,197
130400,2012,12,175
130400,2013,6,208
130400,2014,8,178
